series_id,market,gender,category,trend_label,model,rmse,r2
br_female_accessories_0,br,female,accessories,increasing,naive,0.32988858430689755,-0.6615761784663112
br_female_accessories_1,br,female,accessories,flat,naive,0.17068078304027046,-0.29171487967644527
br_female_accessories_10,br,female,accessories,increasing,naive,0.18571494599548174,-3.070374883237678
br_female_accessories_11,br,female,accessories,flat,naive,0.11287289389074111,-0.6282217221396669
br_female_accessories_12,br,female,accessories,flat,naive,0.40739494722832387,-0.2604802888036226
br_female_accessories_13,br,female,accessories,declining,naive,0.24979437489399728,-0.2919340235757917
br_female_accessories_14,br,female,accessories,increasing,naive,0.16015361830279304,-0.05638558668318461
br_female_accessories_15,br,female,accessories,increasing,naive,0.20125910995097965,-0.006553949004800774
br_female_accessories_16,br,female,accessories,declining,naive,0.4711731243522871,-8.4078030954421
br_female_accessories_17,br,female,accessories,increasing,naive,0.5936497325061026,-5.6462042324339325
br_female_accessories_18,br,female,accessories,increasing,naive,0.12158426631344653,-0.6492439200741584
br_female_accessories_19,br,female,accessories,declining,naive,0.20985370810208734,-0.3292588658345488
br_female_accessories_2,br,female,accessories,declining,naive,0.1591869402193079,-0.10283736788840203
br_female_accessories_20,br,female,accessories,increasing,naive,0.2903575341744662,-0.07610327766095959
br_female_accessories_21,br,female,accessories,flat,naive,0.0,1.0
br_female_accessories_22,br,female,accessories,increasing,naive,0.4296467933866013,-11.49506096707434
br_female_accessories_23,br,female,accessories,flat,naive,0.32038938241900694,-0.824783107774749
br_female_accessories_24,br,female,accessories,flat,naive,0.0,1.0
br_female_accessories_25,br,female,accessories,increasing,naive,0.11468098634580942,-1.1186271151994687
br_female_accessories_26,br,female,accessories,flat,naive,0.6452976780961229,-2.33093268955263
br_female_accessories_27,br,female,accessories,declining,naive,0.0,1.0
br_female_accessories_28,br,female,accessories,increasing,naive,0.27804402874665607,-0.37889800277284325
br_female_accessories_29,br,female,accessories,increasing,naive,0.22010568839759495,-6.824201834865207e-05
br_female_accessories_3,br,female,accessories,increasing,naive,0.6069308826307732,-2.797744547286118
br_female_accessories_30,br,female,accessories,declining,naive,0.0,1.0
br_female_accessories_31,br,female,accessories,flat,naive,0.0,1.0
br_female_accessories_32,br,female,accessories,flat,naive,0.27856584451892397,-0.5040626888877333
br_female_accessories_33,br,female,accessories,declining,naive,0.059865838452561805,0.0
br_female_accessories_34,br,female,accessories,increasing,naive,0.03804885854776643,-3.29584835012664e-05
br_female_accessories_35,br,female,accessories,declining,naive,0.18517663635288462,-0.35042354437137035
br_female_accessories_36,br,female,accessories,increasing,naive,0.4332778472987656,-1.195475515142896
br_female_accessories_37,br,female,accessories,declining,naive,0.35770137171375105,-0.6360775317832217
br_female_accessories_38,br,female,accessories,declining,naive,0.0,1.0
br_female_accessories_39,br,female,accessories,flat,naive,0.14728084018596851,-0.2004952693949309
br_female_accessories_4,br,female,accessories,declining,naive,0.10148244229898049,-0.29276332995619736
br_female_accessories_40,br,female,accessories,flat,naive,0.0,1.0
br_female_accessories_41,br,female,accessories,flat,naive,0.0,1.0
br_female_accessories_42,br,female,accessories,flat,naive,0.0,1.0
br_female_accessories_43,br,female,accessories,flat,naive,0.0,1.0
br_female_accessories_44,br,female,accessories,declining,naive,0.35438943641703874,-0.907511666242812
br_female_accessories_45,br,female,accessories,declining,naive,0.01935730150371346,-0.08965656275548217
br_female_accessories_46,br,female,accessories,increasing,naive,0.3762896054360965,-0.00034100837274553264
br_female_accessories_47,br,female,accessories,flat,naive,0.0,1.0
br_female_accessories_48,br,female,accessories,declining,naive,0.1422727618751941,-0.18128892119004614
br_female_accessories_49,br,female,accessories,declining,naive,0.05316478915531794,-47.26040514876133
br_female_accessories_5,br,female,accessories,declining,naive,0.0,1.0
br_female_accessories_50,br,female,accessories,increasing,naive,0.4260018184162628,-2.3732820255794382
br_female_accessories_51,br,female,accessories,increasing,naive,0.38196993418861497,-0.3443853997155151
br_female_accessories_52,br,female,accessories,increasing,naive,0.33654512901964534,-8.662187622743289e-05
br_female_accessories_53,br,female,accessories,flat,naive,0.0,1.0
br_female_accessories_54,br,female,accessories,flat,naive,0.5613686673596132,-3.2179440459494133
br_female_accessories_55,br,female,accessories,declining,naive,0.0,1.0
br_female_accessories_56,br,female,accessories,increasing,naive,0.11134826002023245,-0.12018713348466292
br_female_accessories_57,br,female,accessories,increasing,naive,0.4767950824380864,-4.958419876072698
br_female_accessories_58,br,female,accessories,flat,naive,0.365140923122149,-0.004847724346867421
br_female_accessories_59,br,female,accessories,declining,naive,0.0,1.0
br_female_accessories_6,br,female,accessories,flat,naive,0.0,1.0
br_female_accessories_60,br,female,accessories,declining,naive,0.05661677681595183,-0.1853022815636327
br_female_accessories_61,br,female,accessories,increasing,naive,0.40945670999840617,-0.672224336991341
br_female_accessories_62,br,female,accessories,flat,naive,0.4479693091933432,-0.8038977825143365
br_female_accessories_63,br,female,accessories,flat,naive,0.2907436100015076,-1.5664341720150246
br_female_accessories_64,br,female,accessories,flat,naive,0.0,1.0
br_female_accessories_65,br,female,accessories,declining,naive,0.0,1.0
br_female_accessories_66,br,female,accessories,declining,naive,0.2122131708613201,-0.7659888762880864
br_female_accessories_67,br,female,accessories,increasing,naive,0.2527311032859376,-0.7477945547292522
br_female_accessories_68,br,female,accessories,declining,naive,0.0,1.0
br_female_accessories_69,br,female,accessories,declining,naive,0.0,1.0
br_female_accessories_7,br,female,accessories,flat,naive,0.4494269937525422,-0.8129040834281582
br_female_accessories_70,br,female,accessories,flat,naive,0.0,1.0
br_female_accessories_71,br,female,accessories,increasing,naive,0.5149492807180365,-2.098187366786773
br_female_accessories_72,br,female,accessories,increasing,naive,0.2881905894904859,-0.08455147561481713
br_female_accessories_73,br,female,accessories,increasing,naive,0.23793784495137138,-0.009794859000452627
br_female_accessories_74,br,female,accessories,increasing,naive,0.2992822443590408,-4.301154186601909
br_female_accessories_75,br,female,accessories,flat,naive,0.0,1.0
br_female_accessories_76,br,female,accessories,increasing,naive,0.39547882518111344,-4.8904469662446495
br_female_accessories_77,br,female,accessories,declining,naive,0.1888103526393174,-6.108549826957926
br_female_accessories_78,br,female,accessories,flat,naive,0.3328984437810927,-0.0005248517380971318
br_female_accessories_79,br,female,accessories,increasing,naive,0.5744294203734237,-4.798906274188251
br_female_accessories_8,br,female,accessories,declining,naive,0.0,1.0
br_female_accessories_80,br,female,accessories,declining,naive,0.27277484073256164,-0.2649157477266242
br_female_accessories_81,br,female,accessories,increasing,naive,0.28006906257697317,-1.3325058112554928
br_female_accessories_82,br,female,accessories,declining,naive,0.4091534045765364,-1.9263469921617613
br_female_accessories_83,br,female,accessories,increasing,naive,0.6664460474418432,-4.2544449167202885
br_female_accessories_84,br,female,accessories,increasing,naive,0.16016567387936906,-4.22127598749032
br_female_accessories_85,br,female,accessories,increasing,naive,0.09772514827202194,-0.09087421243262606
br_female_accessories_86,br,female,accessories,declining,naive,0.0,1.0
br_female_accessories_87,br,female,accessories,declining,naive,0.16688906499957484,-0.3198749617649901
br_female_accessories_88,br,female,accessories,increasing,naive,0.19971927524542685,-3.723064768787763
br_female_accessories_89,br,female,accessories,increasing,naive,0.2583859801054239,-0.7865004678346224
br_female_accessories_9,br,female,accessories,declining,naive,0.2487178682161877,-0.1672419619047687
br_female_accessories_90,br,female,accessories,flat,naive,0.1689225726444953,-0.362841644425719
br_female_accessories_91,br,female,accessories,flat,naive,0.0,1.0
br_female_accessories_92,br,female,accessories,flat,naive,0.0,1.0
br_female_accessories_93,br,female,accessories,increasing,naive,0.36142112495835427,-2.4261332836446288
br_female_accessories_94,br,female,accessories,flat,naive,0.07139165660309421,-0.3646043428785646
br_female_accessories_95,br,female,accessories,increasing,naive,0.13018608572592813,-0.05451880418004018
br_female_accessories_96,br,female,accessories,flat,naive,0.0,1.0
