series_id,market,gender,category,trend_label,n_train,rmse,r2
us_female_bags_26,us,female,bags,declining,209,0.11862284979129764,0.49965221906360213
cn_male_tops_32,cn,male,tops,declining,209,0.1049186359341484,0.8476160311089705
cn_male_accessories_24,cn,male,accessories,declining,209,0.13122712320218793,0.0
cn_male_tops_98,cn,male,tops,declining,209,0.22946818250412412,-0.3317280388096795
uk_male_denim_76,uk,male,denim,declining,209,0.20226294870226555,0.1695473745319508
br_female_shoes_89,br,female,shoes,declining,209,0.018746025699500835,0.0
cn_female_bags_67,cn,female,bags,declining,209,0.2763515345281638,0.0
cn_female_sportswear_28,cn,female,sportswear,declining,209,0.09926144571127263,0.8755494872047707
uk_female_accessories_38,uk,female,accessories,declining,209,0.37960578314534626,-1588.8005948690536
uk_male_outerwear_84,uk,male,outerwear,declining,209,0.07668483477949847,0.28081867946190264
cn_female_tops_20,cn,female,tops,declining,209,0.24504703826842714,-137.65835970455578
br_female_bottoms_88,br,female,bottoms,declining,209,0.000740648681691946,0.0
cn_male_knitwear_14,cn,male,knitwear,declining,209,0.11952803281163907,-2.2655301849575644
fr_female_bottoms_78,fr,female,bottoms,declining,209,0.2226857358278755,-672.7459434524055
uk_female_shoes_93,uk,female,shoes,declining,209,0.15455081894524336,-0.5366881844046898
br_male_denim_44,br,male,denim,declining,209,0.1345532729372765,-15.241201311902582
us_male_denim_6,us,male,denim,declining,209,0.11068902225199326,0.7704534535822772
br_male_knitwear_36,br,male,knitwear,declining,209,0.17087239943075613,0.4932806883823163
fr_female_outerwear_15,fr,female,outerwear,declining,209,0.03562234200681399,0.0
us_female_tops_27,us,female,tops,declining,209,0.1470445013331209,0.23156835100507767
us_female_bags_78,us,female,bags,declining,209,0.10059324583083537,-0.3780654938147494
fr_female_tops_71,fr,female,tops,declining,209,0.14607672597544993,0.0
uk_female_knitwear_54,uk,female,knitwear,declining,209,0.004343928440909693,0.0
fr_female_bottoms_12,fr,female,bottoms,declining,209,0.18326272757012993,-20.156538947390228
uk_female_bags_87,uk,female,bags,declining,209,0.038123709412068,0.0
uk_female_sportswear_77,uk,female,sportswear,declining,209,0.17989355033221352,0.39431962673380516
fr_female_dresses_85,fr,female,dresses,declining,209,0.2589056695352458,-5.544928092338637
fr_male_knitwear_46,fr,male,knitwear,declining,209,0.3785501807843762,-2.0243325874757696
us_female_bottoms_31,us,female,bottoms,declining,209,0.17216861545921613,0.0
cn_female_bags_10,cn,female,bags,declining,209,0.2562565317613531,0.0
uk_male_tops_81,uk,male,tops,declining,209,0.11050370122967698,-2.1139393032501896
fr_male_dresses_31,fr,male,dresses,declining,209,0.09315096208834527,0.0
us_female_knitwear_35,us,female,knitwear,declining,209,0.27330879784078466,-1.2395561202918501
fr_female_dresses_72,fr,female,dresses,declining,209,0.06035706666868062,-40.35982542013804
br_female_sportswear_25,br,female,sportswear,declining,209,0.11035007862844802,-109.27873910803159
fr_male_accessories_15,fr,male,accessories,declining,209,0.2808973005824486,-51.79731090579158
fr_male_tops_13,fr,male,tops,declining,209,0.11731594279170125,0.0
cn_female_dresses_18,cn,female,dresses,declining,209,0.10450352419896514,0.0
fr_female_shoes_84,fr,female,shoes,declining,209,0.3980787381452251,-3486.522291491544
us_female_bags_28,us,female,bags,declining,209,0.456823472303222,-16.37180878218395
cn_female_sportswear_0,cn,female,sportswear,declining,209,0.28617163864322104,0.0
uk_male_shoes_57,uk,male,shoes,declining,209,0.1553068573298372,0.19337738225848122
uk_male_sportswear_36,uk,male,sportswear,declining,209,0.6000210853212928,-7.273328525518938
br_female_knitwear_72,br,female,knitwear,declining,209,0.08430779938798408,0.0
cn_male_tops_97,cn,male,tops,declining,209,0.10742670103102718,0.7241939392681933
cn_female_denim_2,cn,female,denim,declining,209,0.23823801278747592,-13.781901200725345
us_male_bags_28,us,male,bags,declining,209,0.07057536519007628,-0.43648393747201464
us_female_bags_57,us,female,bags,declining,209,0.12720825550543724,0.3786770566168989
us_male_denim_41,us,male,denim,declining,209,0.032019728145865935,0.0
cn_female_shoes_24,cn,female,shoes,declining,209,0.08505130384354964,0.0
fr_female_bottoms_9,fr,female,bottoms,declining,209,0.21482154675795073,-0.7759852659329496
fr_male_outerwear_31,fr,male,outerwear,declining,209,0.2208875553476454,-3.63770414235354
cn_female_shoes_4,cn,female,shoes,declining,209,0.13309010037946753,0.0
fr_male_dresses_98,fr,male,dresses,declining,209,0.11103010486289037,0.5527789085762027
fr_female_accessories_66,fr,female,accessories,declining,209,0.002491121582285205,0.0
uk_female_bags_15,uk,female,bags,declining,209,0.15827725036410203,-1.5852982183788504
br_female_knitwear_47,br,female,knitwear,declining,209,0.26511796376802127,-4347.715514707762
cn_male_bags_77,cn,male,bags,declining,209,0.10142990156616102,0.49483451333109585
fr_male_bottoms_33,fr,male,bottoms,declining,209,0.13753316076304126,0.0
br_male_bottoms_39,br,male,bottoms,declining,209,0.1327354210827162,0.5600316973021289
fr_male_accessories_19,fr,male,accessories,declining,209,0.22454473404709197,0.0
br_male_denim_51,br,male,denim,declining,209,0.15039604225683645,0.5974447193948718
br_male_tops_27,br,male,tops,declining,209,0.08633933156740911,0.834478842373338
uk_male_sportswear_42,uk,male,sportswear,declining,209,0.10990853701666184,0.8350956128241129
cn_female_outerwear_59,cn,female,outerwear,declining,209,0.17433757421823584,-4.283769127766704
br_female_shoes_24,br,female,shoes,declining,209,0.11295425531901179,0.6505504820371639
us_male_accessories_95,us,male,accessories,declining,209,0.09510195781985298,0.8873281225643033
fr_female_bottoms_92,fr,female,bottoms,declining,209,0.28702337920988374,0.0
br_male_knitwear_60,br,male,knitwear,declining,209,0.12789642434158136,0.5705162712323953
fr_female_knitwear_31,fr,female,knitwear,declining,209,0.1360733930018321,-19.377955851134796
uk_female_outerwear_61,uk,female,outerwear,declining,209,0.05425764846420787,0.5487139989849628
cn_male_knitwear_12,cn,male,knitwear,declining,209,0.08692827744357483,0.5792023006130476
cn_male_denim_91,cn,male,denim,declining,209,0.08876250245146725,0.7979633338214588
uk_male_bottoms_26,uk,male,bottoms,declining,209,0.11202671115518725,-0.5366648106456975
br_female_outerwear_29,br,female,outerwear,declining,209,0.046899091349057634,0.0
cn_male_shoes_19,cn,male,shoes,declining,209,0.014664054988609412,0.0
us_male_sportswear_23,us,male,sportswear,declining,209,0.16073121793794157,0.6052612811441843
uk_female_tops_59,uk,female,tops,declining,209,0.14263120368261906,0.5063895308102915
us_male_tops_40,us,male,tops,declining,209,0.15549885471865235,0.09270541521851217
cn_male_dresses_65,cn,male,dresses,declining,209,0.05502794873973317,0.8761880048015818
cn_male_shoes_92,cn,male,shoes,declining,209,0.19811912979130972,-3.4591538647099442
us_female_bags_23,us,female,bags,declining,209,0.24112332527741276,-0.021764826050423514
uk_female_outerwear_33,uk,female,outerwear,declining,209,0.2314518561508384,-5.454421498278402
uk_male_knitwear_49,uk,male,knitwear,declining,209,0.15422756517147918,0.0
fr_female_bags_27,fr,female,bags,declining,209,0.02364694985259975,0.0
cn_male_knitwear_55,cn,male,knitwear,declining,209,0.17876982464239188,-0.5093640802295456
us_female_bottoms_56,us,female,bottoms,declining,209,0.1490944764164573,-1.9320789766869915
us_female_bags_59,us,female,bags,declining,209,0.09806483007808461,-1.9577940707984332
uk_female_outerwear_86,uk,female,outerwear,declining,209,0.11395646135455541,-1.2880364520454384
br_female_denim_23,br,female,denim,declining,209,0.11399578300775559,0.44954279886023063
us_female_shoes_85,us,female,shoes,declining,209,0.10164449771882261,0.512004265362682
br_male_sportswear_87,br,male,sportswear,declining,209,0.12087797838637261,0.0
br_female_sportswear_67,br,female,sportswear,declining,209,0.4391337842227624,0.0
uk_male_bottoms_99,uk,male,bottoms,declining,209,0.06077160106641808,0.0
us_male_tops_23,us,male,tops,declining,209,0.12268244969381992,-34.243737337099965
fr_female_bags_96,fr,female,bags,declining,209,0.1253077710280505,0.0
uk_male_denim_38,uk,male,denim,declining,209,0.10676852951435084,0.8307433315376254
fr_male_dresses_41,fr,male,dresses,declining,209,0.07119084803975675,0.0870885866868818
br_male_sportswear_24,br,male,sportswear,declining,209,0.12019692062165632,0.0
fr_male_dresses_82,fr,male,dresses,declining,209,0.10765621731517717,-925.4064933949184
cn_male_bags_83,cn,male,bags,declining,209,0.24731752229595502,-0.990322769104689
uk_male_denim_96,uk,male,denim,declining,209,0.0728018414954875,0.7441214711139734
br_male_accessories_94,br,male,accessories,declining,209,0.1307419993224501,0.0
uk_female_knitwear_83,uk,female,knitwear,declining,209,0.07827317628104881,0.0
us_female_accessories_4,us,female,accessories,declining,209,0.02832818878768345,0.0
